region,hemi
17Networks_RH_DefaultA_PFCd_1,right
17Networks_RH_DefaultA_PFCd_2,right
17Networks_RH_DefaultA_pCunPCC_1,right
17Networks_RH_DefaultA_pCunPCC_2,right
17Networks_RH_DefaultA_pCunPCC_3,right
17Networks_RH_DefaultA_pCunPCC_4,right
17Networks_RH_DefaultA_pCunPCC_5,right
17Networks_RH_DefaultA_PFCm_1,right
17Networks_RH_DefaultA_PFCm_2,right
17Networks_RH_DefaultA_PFCm_3,right
17Networks_RH_DefaultA_PFCm_4,right
17Networks_RH_DefaultA_PFCm_5,right
17Networks_RH_DefaultA_PFCm_6,right
17Networks_RH_DefaultB_Temp_1,right
17Networks_RH_DefaultB_Temp_2,right
17Networks_RH_DefaultB_AntTemp_1,right
17Networks_RH_DefaultB_PFCd_1,right
17Networks_RH_DefaultB_PFCd_2,right
17Networks_RH_DefaultB_PFCd_3,right
17Networks_RH_DefaultB_PFCd_4,right
17Networks_RH_DefaultB_PFCd_5,right
17Networks_RH_DefaultB_PFCv_1,right
17Networks_RH_DefaultB_PFCv_2,right
17Networks_RH_DefaultB_PFCv_3,right
17Networks_RH_DefaultC_IPL_1,right
17Networks_RH_DefaultC_IPL_2,right
17Networks_RH_DefaultC_Rsp_1,right
17Networks_RH_DefaultC_Rsp_2,right
17Networks_RH_DefaultC_PHC_1,right
17Networks_RH_DefaultC_PHC_2,right
17Networks_RH_TempPar_1,right
17Networks_RH_TempPar_2,right
17Networks_RH_TempPar_3,right
17Networks_RH_TempPar_4,right
17Networks_RH_TempPar_5,right
17Networks_RH_TempPar_6,right
17Networks_RH_TempPar_7,right
17Networks_RH_TempPar_8,right
17Networks_RH_TempPar_9,right
17Networks_RH_TempPar_10,right
AMY-rh,right
pTHA-rh,right
aTHA-rh,right
NAc-rh,right
GP-rh,right
PUT-rh,right
CAU-rh,right
HIP-head-rh,right
HIP-body-rh,right
HIP-tail-rh,right
